1,Ace of Wands,,,New beginnings, inspiration, potential,"Lack of direction, delays, missed opportunities","A hand holding a wand sprouting leaves, emerging from a cloud","Signifies new opportunities and the beginning of a new venture"
2,Two of Wands,,,Planning, making decisions, progress,"Fear of change, lack of planning, indecision","A figure holding a globe, standing between two wands, looking out over the land","Represents future planning and decision-making"
3,Three of Wands,,,Expansion, foresight, overseas opportunities,"Obstacles, delays, lack of foresight","A figure looking out to sea, holding one of three wands","Symbolizes expansion and looking ahead with optimism"
4,Four of Wands,,,Celebration, harmony, homecoming,"Lack of communication, instability, transition","A group celebrating under a canopy of flowers","Indicates celebration, harmony, and homecoming"
5,Five of Wands,,,Conflict, competition, tension,"Avoidance of conflict, diversity, resolution","Five figures each holding a wand in a chaotic scene","Represents conflict and competition"
6,Six of Wands,,,Victory, public recognition, success,"Ego, fall from grace, lack of recognition","A figure on a horse, holding a wand with a wreath","Symbolizes victory and public recognition"
7,Seven of Wands,,,Perseverance, challenge, standing your ground,"Giving up, overwhelmed, defensiveness","A figure defending themselves with a wand against six others","Indicates perseverance and facing challenges"
8,Eight of Wands,,,Speed, action, swift progress,"Delays, frustration, holding off","Eight wands flying through the air","Represents swift action and progress"
9,Nine of Wands,,,Resilience, persistence, close to success,"Exhaustion, fatigue, giving up","A wounded figure holding a wand, with eight others standing behind","Signifies resilience and persistence in the face of challenges"
10,Ten of Wands,,,Burden, responsibility, hard work,"Overwhelm, burden, burnout","A figure carrying ten heavy wands","Symbolizes burden and hard work"
11,Page of Wands,,,Exploration, excitement, freedom,"Lack of direction, procrastination, setbacks","A young figure holding a wand, looking ahead with excitement","Represents exploration and excitement for new ventures"
12,Knight of Wands,,,Passion, adventure, impulsiveness,"Recklessness, haste, scattered energy","A knight riding a horse, holding a wand","Symbolizes passion and impulsive actions"
13,Queen of Wands,,,Confidence, independence, determination,"Jealousy, selfishness, insecurities","A queen sitting on a throne, holding a wand","Represents confidence and independence"
14,King of Wands,,,Leadership, vision, entrepreneurship,"Impulsiveness, overbearing, unachievable expectations","A king sitting on a throne, holding a wand","Indicates leadership and visionary qualities"
15,Ace of Cups,,,Love, new relationships, compassion,"Blocked emotions, lack of creativity, emptiness","A hand holding a cup overflowing with water","Symbolizes love and new emotional beginnings"
16,Two of Cups,,,Partnership, harmony, attraction,"Imbalance, broken communication, tension","Two figures exchanging cups, symbolizing union","Represents partnership and harmony in relationships"
17,Three of Cups,,,Celebration, friendship, community,"Gossip, isolation, disconnection","Three figures celebrating together, holding cups","Symbolizes celebration and community"
18,Four of Cups,,,Contemplation, apathy, reevaluation,"Boredom, missed opportunities, withdrawal","A figure sitting under a tree, ignoring a cup offered by a hand","Indicates contemplation and reevaluation of one's situation"
19,Five of Cups,,,Regret, loss, disappointment,"Acceptance, moving on, forgiveness","A figure mourning over three spilled cups, with two upright cups behind","Represents regret and loss"
